"","pldel","birattnd","mager8","ormoth","mrace","meduc6","dmar","mplbir","mpre5","adequacy","orfath","frace","gestat10","anemia","cardiac","lung","diabetes","herpes","hydra","hemo","chyper","phyper","eclamp","incervix","pre4000","preterm","renal","rh","uterine","othermr","tobacco","alcohol","cigar6","drink5","nprevistq","dfageq","feduc6","dlivord_min","dtotord_min","mplbir_reg","T","target","leaf_index","n11","n12","n21","n22","pi_1","pi_2","phi","causal_effect_model","bias","N"
"1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,21,42,17,21,0.333333333333333,0.447368421052632,-0.114035087719298,-0.283333333333333,0.169298245614035,101
"2",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,32,4,20,0.157894736842105,0.166666666666667,-0.0087719298245614,-0.190364277320799,0.181592347496238,62
"3",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,9,15,43,6,40,0.258620689655172,0.130434782608696,0.128185907046477,-0.213963963963964,0.342149871010441,104
"4",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,0,NA,NA,NA,0,NA,0,NA,NA,0,0,NA,1,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,10,11,40,11,25,0.215686274509804,0.305555555555556,-0.0898692810457516,-0.0333333333333333,0.0565359477124183,87
"5",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,1,NA,1,NA,NA,NA,NA,NA,0,NA,NA,NA,12,2,55,3,44,0.0350877192982456,0.0638297872340425,-0.0287420679357969,-0.111111111111111,0.0823690431753142,104
"6",1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,0,0,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,13,1,63,1,51,0.015625,0.0192307692307692,-0.00360576923076923,0.0261648745519713,0.0297706437827406,116
"7",NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,78,237,48,116,0.247619047619048,0.292682926829268,-0.0450638792102206,-0.0776237276237276,0.032559848413507,479
"8",1,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,0,0,0,0,1,NA,NA,NA,NA,1,NA,NA,20,2,45,0,18,0.0425531914893617,0,0.0425531914893617,-0.118333333333333,0.160886524822695,65
"9",1,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,NA,NA,NA,NA,0,NA,NA,21,1,33,1,16,0.0294117647058824,0.0588235294117647,-0.0294117647058824,0,0.0294117647058824,51
"10",1,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,22,2,66,0,37,0.0294117647058824,0,0.0294117647058824,0.0136986301369863,0.0157131345688961,105
